yoc,area,renov,Ai,Ce,Ci,Rea,Ria,Rie
1859,199,1,6.98,25.62,2.53,1.03,7.71,0.39
1859,199,2,2.17,20.72,2.56,6.92,7.75,0.37
1859,199,3,1.45,20.72,2.56,15.41,19.22,0.99
1889,129,1,3.12,16.73,1.82,1.88,9.91,0.43
1889,129,2,2.60,13.48,1.98,8.31,9.92,0.78
1889,129,3,0.97,13.42,1.98,17.65,24.77,1.09
1933.5,275,1,7.34,28.64,3.02,1.11,5.61,0.25
1933.5,275,2,3.67,28.69,3.16,4.96,5.65,0.19
1933.5,275,3,2.78,28.65,3.51,7.31,19.65,0.59
1953,101,1,2.58,13.11,1.27,2.26,15.52,0.47
1953,101,2,1.73,10.51,1.27,7.64,23.10,0.26
1953,101,3,0.93,10.51,1.27,19.94,41.75,0.79
1963,110,1,3.79,14.31,1.66,2.11,11.71,0.35
1963,110,2,1.91,11.47,1.68,5.86,17.43,0.30
1963,110,3,1.07,11.47,1.68,14.68,29.27,0.73
1973.5,158,1,4.80,20.42,1.98,2.32,9.72,0.29
1973.5,158,2,2.40,16.40,2.02,6.58,14.50,0.30
1973.5,158,3,1.72,16.39,2.02,13.26,24.38,0.53
1981,196,1,3.79,21.73,2.03,2.81,9.14,0.36
1981,196,2,1.90,20.41,2.16,12.15,8.08,0.45
1981,196,3,1.05,20.41,2.16,16.09,31.86,0.81
1989,137,1,4.16,15.63,1.71,3.72,13.70,0.38
1989,137,2,2.88,14.21,1.71,5.39,28.29,0.33
1989,137,3,1.79,14.21,1.71,14.89,28.69,0.56
1998,111,1,4.54,11.53,1.42,4.89,20.51,0.57
1998,111,2,3.68,11.53,1.42,7.38,20.47,0.47
1998,111,3,2.34,11.53,1.42,15.73,34.48,1.04